Brawler_1,Brawler_2,Weight
AMBER,CHARLIE,25
AMBER,CHESTER,23
AMBER,CHUCK,15
AMBER,CLANCY,11
AMBER,COLETTE,64
AMBER,COLT,82
AMBER,CORDELIUS,34
AMBER,CROW,50
AMBER,DARRYL,39
AMBER,DOUG,13
AMBER,DRACO,17
AMBER,DYNAMIKE,86
AMBER,EDGAR,139
AMBER,EL PRIMO,30
AMBER,EMZ,69
AMBER,EVE,12
AMBER,FANG,110
AMBER,FINX,10
AMBER,FRANK,40
AMBER,GALE,27
AMBER,GENE,24
AMBER,GRAY,25
AMBER,GRIFF,61
AMBER,GROM,46
AMBER,GUS,44
AMBER,HANK,18
AMBER,JACKY,17
AMBER,JAE-YONG,21
AMBER,JANET,18
AMBER,JESSIE,39
AMBER,JUJU,16
AMBER,KAZE,44
AMBER,KENJI,38
AMBER,KIT,56
AMBER,LARRY & LAWRIE,18
AMBER,LEON,42
AMBER,LILY,49
AMBER,LOLA,8
AMBER,LOU,15
AMBER,LUMI,21
AMBER,MAISIE,21
AMBER,MANDY,89
AMBER,MAX,31
AMBER,MEEPLE,12
AMBER,MEG,18
AMBER,MELODIE,21
AMBER,MICO,16
AMBER,MOE,12
AMBER,MORTIS,130
AMBER,MR. P,25
AMBER,NANI,13
AMBER,NITA,46
AMBER,OLLIE,8
AMBER,OTIS,4
AMBER,PAM,21
AMBER,PEARL,13
AMBER,PENNY,62
AMBER,PIPER,76
AMBER,POCO,33
AMBER,R-T,16
AMBER,RICO,72
AMBER,ROSA,16
AMBER,RUFFS,3
AMBER,SAM,4
AMBER,SANDY,43
AMBER,SHADE,34
AMBER,SHELLY,20
AMBER,SPIKE,41
AMBER,SPROUT,23
AMBER,SQUEAK,52
AMBER,STU,43
AMBER,SURGE,27
AMBER,TARA,39
AMBER,TICK,112
AMBER,WILLOW,15
ANGELO,ANGELO,3
ANGELO,ASH,3
ANGELO,BARLEY,30
ANGELO,BEA,58
ANGELO,BELLE,63
ANGELO,BERRY,20
ANGELO,BIBI,9
ANGELO,BO,53
ANGELO,BONNIE,39
ANGELO,BROCK,99
ANGELO,BULL,21
ANGELO,BUSTER,6
ANGELO,BUZZ,9
ANGELO,BYRON,57
ANGELO,CARL,34
ANGELO,CHARLIE,21
ANGELO,CHESTER,15
ANGELO,CHUCK,13
ANGELO,CLANCY,7
ANGELO,COLETTE,58
ANGELO,COLT,70
ANGELO,CORDELIUS,16
ANGELO,CROW,34
ANGELO,DARRYL,33
