Brawler_1,Brawler_2,Weight
BERRY,CLANCY,2
BERRY,COLETTE,21
BERRY,COLT,24
BERRY,CORDELIUS,13
BERRY,CROW,19
BERRY,DARRYL,13
BERRY,DOUG,7
BERRY,DRACO,14
BERRY,DYNAMIKE,26
BERRY,EDGAR,48
BERRY,EL PRIMO,10
BERRY,EMZ,18
BERRY,EVE,1
BERRY,FANG,28
BERRY,FINX,2
BERRY,FRANK,13
BERRY,GALE,2
BERRY,GENE,4
BERRY,GRAY,15
BERRY,GRIFF,6
BERRY,GROM,16
BERRY,GUS,8
BERRY,HANK,9
BERRY,JAE-YONG,1
BERRY,JANET,1
BERRY,JESSIE,20
BERRY,KAZE,9
BERRY,KENJI,11
BERRY,KIT,12
BERRY,LARRY & LAWRIE,7
BERRY,LEON,16
BERRY,LILY,7
BERRY,LOLA,2
BERRY,LOU,4
BERRY,LUMI,3
BERRY,MAISIE,2
BERRY,MANDY,20
BERRY,MAX,8
BERRY,MEEPLE,2
BERRY,MEG,1
BERRY,MELODIE,7
BERRY,MICO,15
BERRY,MOE,4
BERRY,MORTIS,42
BERRY,MR. P,9
BERRY,NANI,5
BERRY,NITA,8
BERRY,OLLIE,3
BERRY,OTIS,1
BERRY,PAM,4
BERRY,PEARL,2
BERRY,PENNY,16
BERRY,PIPER,18
BERRY,POCO,8
BERRY,RICO,26
BERRY,ROSA,6
BERRY,RUFFS,3
BERRY,SAM,1
BERRY,SANDY,7
BERRY,SHADE,6
BERRY,SHELLY,5
BERRY,SPIKE,16
BERRY,SPROUT,1
BERRY,SQUEAK,11
BERRY,STU,14
BERRY,SURGE,9
BERRY,TARA,7
BERRY,TICK,18
BERRY,WILLOW,3
BIBI,BO,22
BIBI,BONNIE,7
BIBI,BROCK,22
BIBI,BULL,20
BIBI,BUSTER,7
BIBI,BUZZ,20
BIBI,BYRON,7
BIBI,CARL,21
BIBI,CHARLIE,10
BIBI,CHESTER,22
BIBI,CHUCK,4
BIBI,CLANCY,9
BIBI,COLETTE,30
BIBI,COLT,65
BIBI,CORDELIUS,28
BIBI,CROW,40
BIBI,DARRYL,20
BIBI,DOUG,21
BIBI,DRACO,9
BIBI,DYNAMIKE,90
BIBI,EDGAR,88
BIBI,EL PRIMO,21
BIBI,EMZ,29
BIBI,EVE,3
BIBI,FANG,48
BIBI,FINX,1
BIBI,FRANK,40
BIBI,GALE,15
BIBI,GENE,4
BIBI,GRAY,16
BIBI,GRIFF,23
BIBI,GROM,20
BIBI,GUS,8
BIBI,HANK,10
BIBI,JACKY,14
BIBI,JAE-YONG,6
BIBI,JANET,10
BIBI,JESSIE,17
BIBI,JUJU,4
BIBI,KAZE,23
BIBI,KENJI,32
BIBI,KIT,26
BIBI,LARRY & LAWRIE,6
BIBI,LEON,19
BIBI,LILY,33
BIBI,LOLA,4
BIBI,LOU,4
BIBI,LUMI,9
BIBI,MAISIE,11
BIBI,MANDY,32
BIBI,MAX,11
BIBI,MEEPLE,8
BIBI,MEG,12
BIBI,MELODIE,19
BIBI,MICO,8
BIBI,MORTIS,204
BIBI,MR. P,10
BIBI,NANI,4
BIBI,NITA,22
BIBI,OLLIE,3
BIBI,OTIS,4
BIBI,PAM,5
BIBI,PEARL,2
BIBI,PENNY,7
BIBI,PIPER,30
BIBI,POCO,15
BIBI,R-T,7
BIBI,RICO,54
BIBI,ROSA,4
BIBI,RUFFS,1
BIBI,SAM,2
BIBI,SANDY,14
BIBI,SHADE,13
BIBI,SHELLY,20
BIBI,SPIKE,39
BIBI,SPROUT,9
BIBI,SQUEAK,17
BIBI,STU,35
BIBI,SURGE,33
BIBI,TARA,25
BIBI,TICK,27
BIBI,WILLOW,4
BO,BONNIE,8
BO,BROCK,56
BO,BULL,20
BO,BUSTER,7
BO,BUZZ,11
BO,BYRON,22
