Brawler_1,Brawler_2,Weight
ASH,PIPER,28
ASH,POCO,18
ASH,R-T,11
ASH,RICO,24
ASH,ROSA,10
ASH,RUFFS,3
ASH,SAM,4
ASH,SANDY,19
ASH,SHADE,27
ASH,SHELLY,9
ASH,SPIKE,14
ASH,SPROUT,13
ASH,SQUEAK,19
ASH,STU,14
ASH,SURGE,25
ASH,TARA,40
ASH,TICK,38
ASH,WILLOW,13
BARLEY,BARLEY,20
BARLEY,BEA,42
BARLEY,BELLE,38
BARLEY,BERRY,43
BARLEY,BIBI,22
BARLEY,BO,90
BARLEY,BONNIE,45
BARLEY,BROCK,67
BARLEY,BULL,40
BARLEY,BUSTER,11
BARLEY,BUZZ,26
BARLEY,BYRON,31
BARLEY,CARL,64
BARLEY,CHARLIE,13
BARLEY,CHESTER,23
BARLEY,CHUCK,26
BARLEY,CLANCY,18
BARLEY,COLETTE,68
BARLEY,COLT,72
BARLEY,CORDELIUS,26
BARLEY,CROW,47
BARLEY,DARRYL,48
BARLEY,DOUG,18
BARLEY,DRACO,29
BARLEY,DYNAMIKE,109
BARLEY,EDGAR,152
BARLEY,EL PRIMO,39
BARLEY,EMZ,46
BARLEY,EVE,8
BARLEY,FANG,81
BARLEY,FINX,16
BARLEY,FRANK,49
BARLEY,GALE,24
BARLEY,GENE,12
BARLEY,GRAY,19
BARLEY,GRIFF,48
BARLEY,GROM,68
BARLEY,GUS,53
BARLEY,HANK,21
BARLEY,JACKY,22
BARLEY,JAE-YONG,18
BARLEY,JANET,19
BARLEY,JESSIE,62
BARLEY,JUJU,21
BARLEY,KAZE,50
BARLEY,KENJI,47
BARLEY,KIT,30
BARLEY,LARRY & LAWRIE,22
BARLEY,LEON,31
BARLEY,LILY,51
BARLEY,LOLA,17
BARLEY,LOU,16
BARLEY,LUMI,27
BARLEY,MAISIE,24
BARLEY,MANDY,100
BARLEY,MAX,27
BARLEY,MEEPLE,23
BARLEY,MEG,19
BARLEY,MELODIE,20
BARLEY,MICO,30
BARLEY,MOE,10
BARLEY,MORTIS,102
BARLEY,MR. P,29
BARLEY,NANI,17
BARLEY,NITA,39
BARLEY,OLLIE,7
BARLEY,OTIS,21
BARLEY,PAM,7
BARLEY,PEARL,16
BARLEY,PENNY,58
BARLEY,PIPER,55
BARLEY,POCO,32
BARLEY,R-T,21
BARLEY,RICO,70
BARLEY,ROSA,11
BARLEY,RUFFS,3
BARLEY,SAM,11
BARLEY,SANDY,25
BARLEY,SHADE,57
BARLEY,SHELLY,23
BARLEY,SPIKE,42
BARLEY,SPROUT,16
BARLEY,SQUEAK,54
BARLEY,STU,39
BARLEY,SURGE,34
BARLEY,TARA,42
BARLEY,TICK,130
BARLEY,WILLOW,10
BEA,BEA,2
BEA,BELLE,158
BEA,BERRY,48
BEA,BIBI,63
BEA,BO,163
BEA,BONNIE,117
BEA,BROCK,220
BEA,BULL,61
BEA,BUSTER,20
BEA,BUZZ,35
BEA,BYRON,113
BEA,CARL,112
BEA,CHARLIE,66
BEA,CHESTER,49
BEA,CHUCK,20
BEA,CLANCY,19
BEA,COLETTE,186
BEA,COLT,152
BEA,CORDELIUS,108
BEA,CROW,115
BEA,DARRYL,109
BEA,DOUG,45
BEA,DRACO,54
BEA,DYNAMIKE,171
BEA,EDGAR,238
BEA,EL PRIMO,92
BEA,EMZ,95
BEA,EVE,24
BEA,FANG,246
BEA,FINX,38
BEA,FRANK,115
BEA,GALE,32
BEA,GENE,51
BEA,GRAY,95
BEA,GRIFF,124
BEA,GROM,126
BEA,GUS,125
BEA,HANK,50
BEA,JACKY,42
BEA,JAE-YONG,38
BEA,JANET,42
BEA,JESSIE,67
BEA,JUJU,25
BEA,KAZE,121
BEA,KENJI,93
BEA,KIT,116
BEA,LARRY & LAWRIE,28
BEA,LEON,59
BEA,LILY,123
BEA,LOLA,18
BEA,LOU,39
BEA,LUMI,38
BEA,MAISIE,48
BEA,MANDY,274
BEA,MAX,80
BEA,MEEPLE,52
BEA,MEG,23
BEA,MELODIE,48
BEA,MICO,29
BEA,MOE,29
BEA,MORTIS,270
BEA,MR. P,80
BEA,NANI,49
BEA,NITA,62
BEA,OLLIE,34
BEA,OTIS,19
BEA,PAM,18
BEA,PEARL,25
BEA,PENNY,90
BEA,PIPER,269
BEA,POCO,53
BEA,R-T,56
BEA,RICO,112
BEA,ROSA,15
BEA,RUFFS,21
BEA,SAM,10
BEA,SANDY,38
BEA,SHADE,82
BEA,SHELLY,46
BEA,SPIKE,110
BEA,SPROUT,29
BEA,SQUEAK,107
BEA,STU,122
BEA,SURGE,57
BEA,TARA,72
BEA,TICK,234
BEA,WILLOW,31
BELLE,BELLE,3
BELLE,BERRY,40
BELLE,BIBI,56
BELLE,BO,165
BELLE,BONNIE,159
BELLE,BROCK,272
BELLE,BULL,62
BELLE,BUSTER,29
BELLE,BUZZ,34
BELLE,BYRON,122
BELLE,CARL,136
BELLE,CHARLIE,52
BELLE,CHESTER,55
BELLE,CHUCK,49
BELLE,CLANCY,16
BELLE,COLETTE,148
BELLE,COLT,121
BELLE,CORDELIUS,77
BELLE,CROW,139
BELLE,DARRYL,120
BELLE,DOUG,21
BELLE,DRACO,37
BELLE,DYNAMIKE,121
BELLE,EDGAR,355
BELLE,EL PRIMO,49
BELLE,EMZ,109
BELLE,EVE,25
BELLE,FANG,381
BELLE,FINX,15
BELLE,FRANK,86
BELLE,GALE,34
BELLE,GENE,64
BELLE,GRAY,117
BELLE,GRIFF,74
BELLE,GROM,147
BELLE,GUS,189
BELLE,HANK,22
BELLE,JACKY,22
BELLE,JAE-YONG,37
BELLE,JANET,38
BELLE,JESSIE,101
