Brawler_1,Brawler_2,Weight
ASH,EDGAR,7
ASH,EL PRIMO,3
ASH,EMZ,3
ASH,FANG,12
ASH,FINX,2
ASH,FRANK,6
ASH,GALE,4
ASH,GENE,2
ASH,GRAY,2
ASH,GRIFF,4
ASH,GROM,3
ASH,GUS,5
ASH,HANK,2
ASH,JACKY,1
ASH,JAE-YONG,8
ASH,JANET,3
ASH,JESSIE,8
ASH,KAZE,16
ASH,KENJI,3
ASH,KIT,3
ASH,LARRY & LAWRIE,4
ASH,LEON,1
ASH,LILY,5
ASH,LOLA,6
ASH,LOU,1
ASH,LUMI,5
ASH,MAISIE,5
ASH,MANDY,4
ASH,MAX,1
ASH,MEEPLE,2
ASH,MEG,2
ASH,MELODIE,4
ASH,MICO,3
ASH,MOE,2
ASH,MORTIS,16
ASH,MR. P,1
ASH,NANI,1
ASH,NITA,2
ASH,OLLIE,3
ASH,OTIS,1
ASH,PEARL,2
ASH,PENNY,1
ASH,PIPER,5
ASH,POCO,4
ASH,RICO,7
ASH,ROSA,3
ASH,RUFFS,1
ASH,SANDY,5
ASH,SHADE,9
ASH,SHELLY,6
ASH,SPIKE,1
ASH,SPROUT,1
ASH,SQUEAK,1
ASH,STU,3
ASH,SURGE,11
ASH,TARA,9
ASH,TICK,8
BARLEY,BARLEY,1
BARLEY,BEA,14
BARLEY,BELLE,5
BARLEY,BERRY,7
BARLEY,BIBI,8
BARLEY,BO,16
BARLEY,BONNIE,6
BARLEY,BROCK,9
BARLEY,BULL,10
BARLEY,BUSTER,4
BARLEY,BUZZ,5
BARLEY,BYRON,5
BARLEY,CARL,17
BARLEY,CHARLIE,2
BARLEY,CHESTER,12
BARLEY,CHUCK,6
BARLEY,CLANCY,6
BARLEY,COLETTE,24
BARLEY,COLT,18
BARLEY,CORDELIUS,10
BARLEY,CROW,12
BARLEY,DARRYL,9
BARLEY,DOUG,5
BARLEY,DRACO,5
BARLEY,DYNAMIKE,34
BARLEY,EDGAR,21
BARLEY,EL PRIMO,6
BARLEY,EMZ,19
BARLEY,EVE,3
BARLEY,FANG,17
BARLEY,FINX,4
BARLEY,FRANK,13
BARLEY,GALE,7
BARLEY,GENE,6
BARLEY,GRAY,1
BARLEY,GRIFF,10
BARLEY,GROM,3
BARLEY,GUS,8
BARLEY,HANK,4
BARLEY,JACKY,5
BARLEY,JAE-YONG,4
BARLEY,JANET,1
BARLEY,JESSIE,14
BARLEY,JUJU,6
BARLEY,KAZE,13
BARLEY,KENJI,13
BARLEY,KIT,11
BARLEY,LARRY & LAWRIE,3
BARLEY,LEON,15
BARLEY,LILY,8
BARLEY,LOU,4
BARLEY,LUMI,2
BARLEY,MAISIE,8
BARLEY,MANDY,22
BARLEY,MAX,2
BARLEY,MEEPLE,4
BARLEY,MEG,2
BARLEY,MELODIE,7
BARLEY,MICO,19
BARLEY,MOE,3
BARLEY,MORTIS,25
BARLEY,MR. P,2
BARLEY,NANI,1
BARLEY,NITA,10
BARLEY,OLLIE,2
BARLEY,OTIS,2
BARLEY,PAM,4
BARLEY,PEARL,1
BARLEY,PENNY,14
BARLEY,PIPER,13
BARLEY,POCO,7
BARLEY,R-T,2
BARLEY,RICO,16
BARLEY,ROSA,5
BARLEY,RUFFS,3
BARLEY,SANDY,6
BARLEY,SHADE,5
BARLEY,SHELLY,5
BARLEY,SPIKE,19
BARLEY,SPROUT,5
BARLEY,SQUEAK,14
BARLEY,STU,8
BARLEY,SURGE,8
BARLEY,TARA,9
BARLEY,TICK,16
BARLEY,WILLOW,4
BEA,BEA,1
BEA,BELLE,19
BEA,BERRY,3
BEA,BIBI,38
BEA,BO,39
BEA,BONNIE,8
BEA,BROCK,42
BEA,BULL,19
BEA,BUSTER,10
BEA,BUZZ,18
BEA,BYRON,18
BEA,CARL,34
BEA,CHARLIE,10
BEA,CHESTER,18
BEA,CHUCK,2
BEA,CLANCY,3
BEA,COLETTE,78
BEA,COLT,42
BEA,CORDELIUS,20
BEA,CROW,37
BEA,DARRYL,29
BEA,DOUG,7
BEA,DRACO,8
BEA,DYNAMIKE,49
BEA,EDGAR,56
BEA,EL PRIMO,19
BEA,EMZ,14
BEA,EVE,4
BEA,FANG,33
BEA,FINX,4
BEA,FRANK,12
BEA,GALE,6
BEA,GENE,10
BEA,GRAY,16
BEA,GRIFF,44
BEA,GROM,25
BEA,GUS,27
BEA,HANK,36
BEA,JACKY,8
