Player_Tag,Total_Trophies
#2QJPCYQP0U,4163
#20CYCCRGLG,45183
#2QYJ8GJ9YR,17265
#GG9Y29QQ2,15354
#9J82RY998,26735
#VUJ8RRPU,25310
#2RUJ9PR090,11969
#22UYLQ298J,24894
#2L8RL9CYJC,15163
#LC0UVRUC8,51222
#Y8PPJ8GLG,41488
#P2QYVQ80V,43402
#PLVJ0JLYQ,34143
#2PGJYYVQG,56850
#2GV0JPCQPR,16857
#C0L0YP90C,13731
#28UYLCR0LG,20295
#G90QPR89Q,35913
#YRJJPVCLP,43120
#8GPCRP298,93517
#P9YJ80YC0,25152
#J09G8RJ0,70313
#L920J90R9,82379
#988LUYR0Q,46541
#2PPCCRLUU,39564
#JJ8L2UPJG,37334
#LV8YRR0CP,49186
#2RPCLCR22J,31295
#GRVJJC2Y8,38971
#GGQVUJ29V,8408
#2YVV0LVGQV,6037
#YJPCPPVL9,52292
#RQRLQYV2U,65836
#2V9LLVCLC,40286
#2R88U8YU8V,13176
#QCQJ0CP82,47379
#2JY2PRCVQU,8322
#88GGCUJ82,62079
#YPV2UV8LL,18407
#2GRLQ0PP,59790
#2QJLVJQ2VV,9272
#2QLQCJ2G9V,13799
#2VVPQPUYU,54258
#2QJ2L2RJLC,20883
#2V89LQQV9,14288
#Q9RGCPRP,39303
#8RGY0UVCV,27523
#2RVJPQVLJ,11130
#GJG0UJ8RU,44468
#QG0V2UCJQ,38221
#2UGRVR8YJ,43140
#RYP0Q2JVR,25643
#29QP0CRGC,36458
#JP9L9U2G8,21040
#2Q00JJJPQ0,25268
#2GGLP8VJ,4814
#L2UGP00YG,52135
#82LQ90J0U,30312
#YGUYV202U,55170
#2QQL9UP8YV,19361
#22LV2PG2,9727
#2R200QYC8C,10602
#28PR8CQVU,52125
#8GYYUYCCG,88886
#LPCUR2QG,55141
#P8LCC8J8C,32132
#8Q9VVGUU2,54061
#RGL9U9V2J,38806
#9RJGC0PPV,54723
#290J999RVY,29422
#RLUC80VL2,17514
#2YUVG2P9JJ,19293
#PGRYPLGV9,52561
#28YRL80CRC,24611
#2QRRPGGYUP,21951
#GJYCGVRGU,37996
#28GV8LJC8Y,3988
#909L2CYPL,45115
#QQ28GG8VC,21366
#PUPY8YY9L,34941
#2C8RYUU02L,1850
#2RCGPVVLYU,14041
#2980PU2Q9,25309
#9RPLGQ9G2,92792
#2GRY8R99JV,21099
#2L80LQR8YU,27303
#2RVVU9PJ2J,9310
#9YY2UUV2G,48268
#GQRU9R8CV,35776
#LP2C82G9P,90168
#R9YUUC2QR,9119
#2CPJRGPGQ,44466
#LPLVL99LY,63762
#20VP289GU,17396
#PG28UG9PU,27999
#2C898CR0QU,2615
#289GJ89C2P,8831
#2GL08VVVPG,9351
#2QVQ0CCRLJ,36407
#2Y980V902Q,41052
#PP0YQ9P2Q,21449
#9R88VLRPY,61080
#L2R8JU2RL,11637
#2LYLU0RLRQ,19514
#2J8QP90L2Y,14067
#G0UPQVCQ2,23537
#2YQ0VQ8GY,97360
#GC8JLLGRP,38989
#GRCPJ8PC,40861
#LJGYQJ2YU,38857
#9L2VYRPRU,19506
#2U2LCYRR,94147
#RPGLYQ9L,58118
#GJLL0QYGU,23649
#RGP898PCR,28145
#J2CV0PQ9G,24424
#CCQ0QJYL9,37551
#U02VVRJGC,842
#LJQLY2Y98,30814
#LLQG8PGG,49904
#G9JUVULJ9,20639
#GVGULJQ2V,10066
#YQRR29YR,30979
#888RRYYCV,74072
#2QQ2CL9YLP,13238
#2JP2QVUP9R,4709
#LLCCLCVGG,6621
#G2QVC9GG8,50611
#2PQJ0U0,87401
#2U29YCR0L,40375
#2QRR2Q99R9,28399
#G9UL2908R,12946
#QUVGQU899,51962
#LG029P2LP,23164
#PLGLLPYUP,53798
#2QU82QGC2U,2858
#R00LG0JC2,35976
#YUC2PG0Q8,27664
#2LLQ8UYYQU,37105
#9YCUV00RU,13948
#LJV2PVJUC,30818
#2V9JYG9VG,24338
#2C08VVPC82,6357
#2RY228YGRJ,8004
#YGGJU2J2,56604
#2LGL8G8R08,19637
#GGJ8UJY0U,8574
#8GVUVLCUU,30683
#9YCV2GUQU,26444
#C2V0URQG,21917
#VJPQCY0UQ,13283
#2J8GJ08LQ,16724
#PYVCLYVVL,53207
#2JP2GL0PQY,10352
#2UUJRP9J0,31229
#LVJCL9UV8,61378
#890QVJ99P,82464
#GUV2GRY8G,31542
#2RR09VL8C,74118
#P0C2RRPYJ,43871
#2LPR0CG0QQ,11000
#2YVJ0YPGVR,26955
#2RPPG0VJY,47158
#88C29GC0P,5349
#CV0C0P8RR,25867
#LCV022Q9R,61419
#YCUYLGRG,30685
#Q9PVY22V,43605
#2YYG9LJRRR,16248
#GPR09CJG,49074
#2Q9PCGGJ00,23481
#2JVJQPVG9Q,1675
#2JPLVQC9R8,17525
#YVPQYJ9U2,24933
#YVRRQCP0U,27418
#9J2UY0R0U,24429
#8GJUUCGPQ,55836
#LPY9L0Y02,21215
#9JCU2JPGL,55914
#289PUG0VU2,46865
#RGL200L0J,24558
#QPYU8YL09,1998
#2GUJR20YVG,13433
#GGU9JYG8L,35316
#2RULQ8C2JC,16894
#2QYQY2QYR8,18846
#L0V2QVRY9,23516
#J8QC00C9C,34803
#28C02CYGV,46025
#2JJQVLC88R,6004
#GJYL282PJ,23048
#8892PG0GC,86643
#GY2PRYQYP,45062
#9CP2R2YJ0,44080
#2JUJR8QVJQ,5074
#2L08L2QP8C,44413
#C2VLLVPY,35321
#PQUGPUQLR,2763
#YYCY82Q9U,16460
#2YP8Y88GG0,47443
