Brawler_1,Brawler_2,Weight
ASH,GENE,5
ASH,GRAY,3
ASH,GRIFF,9
ASH,GROM,9
ASH,GUS,6
ASH,HANK,9
ASH,JACKY,6
ASH,JAE-YONG,3
ASH,JANET,1
ASH,JESSIE,4
ASH,KAZE,5
ASH,KENJI,3
ASH,KIT,3
ASH,LARRY & LAWRIE,4
ASH,LEON,7
ASH,LILY,2
ASH,LOLA,5
ASH,LOU,1
ASH,LUMI,2
ASH,MAISIE,3
ASH,MANDY,3
ASH,MAX,6
ASH,MEEPLE,2
ASH,MEG,3
ASH,MELODIE,3
ASH,MICO,2
ASH,MORTIS,11
ASH,MR. P,4
ASH,NANI,4
ASH,NITA,7
ASH,OLLIE,1
ASH,OTIS,2
ASH,PAM,5
ASH,PEARL,2
ASH,PENNY,3
ASH,PIPER,6
ASH,POCO,7
ASH,R-T,1
ASH,RICO,15
ASH,ROSA,7
ASH,RUFFS,1
ASH,SAM,3
ASH,SANDY,3
ASH,SHADE,6
ASH,SHELLY,13
ASH,SPIKE,4
ASH,SPROUT,6
ASH,SQUEAK,1
ASH,STU,1
ASH,SURGE,8
ASH,TARA,4
ASH,TICK,3
BARLEY,BARLEY,17
BARLEY,BEA,29
BARLEY,BELLE,24
BARLEY,BERRY,14
BARLEY,BIBI,19
BARLEY,BO,57
BARLEY,BONNIE,11
BARLEY,BROCK,54
BARLEY,BULL,25
BARLEY,BUSTER,5
BARLEY,BUZZ,9
BARLEY,BYRON,24
BARLEY,CARL,28
BARLEY,CHARLIE,3
BARLEY,CHESTER,9
BARLEY,CHUCK,5
BARLEY,CLANCY,7
BARLEY,COLETTE,26
BARLEY,COLT,41
BARLEY,CORDELIUS,9
BARLEY,CROW,19
BARLEY,DARRYL,22
BARLEY,DOUG,22
BARLEY,DRACO,6
BARLEY,DYNAMIKE,46
BARLEY,EDGAR,74
BARLEY,EL PRIMO,53
BARLEY,EMZ,55
BARLEY,EVE,1
BARLEY,FANG,30
BARLEY,FINX,5
