Source,Target,Wins,Loses,Observations
MR. P,PAM,6,16,22
MR. P,ROSA,5,18,23
MR. P,SHELLY,8,23,31
NANI,NITA,12,26,38
NANI,PAM,12,34,46
NANI,POCO,23,51,74
NANI,ROSA,8,18,26
NANI,SHADE,15,38,53
NANI,SHELLY,14,42,56
NANI,STU,18,34,52
NANI,SURGE,20,33,53
NITA,PAM,20,33,53
NITA,PIPER,44,63,107
NITA,POCO,30,77,107
NITA,R-T,10,20,30
NITA,SAM,7,21,28
NITA,SHELLY,68,114,182
NITA,SPROUT,7,31,38
NITA,STU,34,57,91
OLLIE,PAM,3,11,14
OLLIE,SHELLY,4,14,18
PAM,PENNY,15,32,47
PAM,POCO,20,36,56
PAM,RICO,25,52,77
PAM,ROSA,11,34,45
PAM,SHADE,10,25,35
PAM,SHELLY,10,33,43
PAM,STU,13,56,69
PAM,TARA,23,40,63
PAM,WILLOW,6,16,22
PEARL,ROSA,7,17,24
PEARL,SHELLY,12,27,39
PENNY,PIPER,78,118,196
PENNY,STU,19,48,67
PIPER,POCO,65,92,157
PIPER,ROSA,16,29,45
PIPER,SANDY,51,78,129
PIPER,SHADE,31,60,91
PIPER,SHELLY,56,82,138
PIPER,STU,58,112,170
PIPER,SURGE,67,96,163
POCO,ROSA,6,28,34
POCO,SAM,9,21,30
POCO,SHELLY,30,77,107
POCO,SPROUT,7,21,28
POCO,STU,21,62,83
POCO,WILLOW,6,22,28
R-T,STU,8,23,31
RICO,STU,51,99,150
ROSA,SAM,2,18,20
ROSA,SHELLY,14,51,65
ROSA,SPROUT,2,19,21
ROSA,STU,14,31,45
ROSA,TICK,15,36,51
ROSA,WILLOW,5,13,18
SANDY,STU,37,54,91
SHADE,SPIKE,45,65,110
SHELLY,STU,32,72,104
SHELLY,SURGE,29,52,81
STU,TARA,37,58,95
STU,TICK,59,81,140
ASH,ASH,0,10,10
BUZZ,BUZZ,0,10,10
JACKY,JUJU,0,8,8
LOLA,R-T,0,5,5
OTIS,RUFFS,0,5,5
